"","wordsum","wrkstat","age","pres08","authoritarianism","income","con_govt","conarmy","degree"
"575",6,"RETIRED",79,"Obama",NA,20184.4114566713,NA,NA,"Junior Coll"
"576",NA,"RETIRED",60,NA,1,13865.4685921121,1,"HARDLY ANY","<HS"
"577",8,"UNEMPLOYED, LAID OFF",59,"McCain",NA,18556.5373557377,NA,NA,"HS"
"578",4,"KEEPING HOUSE",59,"Obama",0,2009.85348889058,1,"A GREAT DEAL","HS"
"579",7,"RETIRED",63,"Obama",NA,12357.2422625274,NA,NA,"HS"
"580",5,"RETIRED",66,"McCain",3,11103.2245940165,1,"A GREAT DEAL","<HS"
"581",6,"WORKING FULL TIME",49,NA,NA,6657.83225736291,NA,NA,"HS"
"582",8,"RETIRED",66,NA,3,174591.448920598,2,"A GREAT DEAL","Bachelor deg"
"583",NA,"WORKING FULL TIME",42,NA,3,174486.176879157,4,"A GREAT DEAL","Graduate deg"
"584",8,"WORKING FULL TIME",52,"McCain",1,174335.431829452,2,"A GREAT DEAL","Graduate deg"
"585",NA,"WORKING FULL TIME",42,NA,3,140212.960839671,4,"A GREAT DEAL","Graduate deg"
"586",NA,"WORKING FULL TIME",45,"Obama",1,175386.791856211,2,"ONLY SOME","Bachelor deg"
"587",9,"WORKING FULL TIME",37,"Obama",0,174953.575159722,3,"ONLY SOME","Graduate deg"
"588",NA,"WORKING FULL TIME",49,"Obama",3,74998.5264573154,2,"ONLY SOME","HS"
"589",4,NA,31,"Obama",3,21216.2297864216,1,"HARDLY ANY","HS"
"590",NA,"RETIRED",81,"Obama",3,74998.4019942568,1,"A GREAT DEAL","HS"
"591",NA,"WORKING FULL TIME",30,NA,5,NA,4,"A GREAT DEAL","Graduate deg"
"592",7,"WORKING FULL TIME",29,"Obama",5,21455.8474954814,3,"A GREAT DEAL","Junior Coll"
"593",5,"WORKING FULL TIME",58,"Obama",NA,53630.2336049826,NA,NA,"Junior Coll"
"594",NA,"WORKING FULL TIME",76,"McCain",1,NA,2,"A GREAT DEAL","HS"
"595",5,"WORKING FULL TIME",49,"Obama",NA,74997.8888338712,NA,NA,"Junior Coll"
"596",5,"KEEPING HOUSE",42,"Obama",NA,82234.1218184906,NA,NA,"Junior Coll"
"597",8,"WORKING FULL TIME",56,"Obama",1,140918.000094081,1,"HARDLY ANY","Bachelor deg"
"598",8,"WORKING FULL TIME",40,"Obama",NA,173368.321347912,NA,NA,"Graduate deg"
"599",6,"WORKING FULL TIME",35,"Obama",0,174030.47215483,4,"ONLY SOME","Bachelor deg"
"600",6,"TEMP NOT WORKING",36,"McCain",NA,120130.988976116,NA,NA,"Graduate deg"
"601",NA,"WORKING FULL TIME",56,"Obama",0,74999.7991318954,3,"ONLY SOME","Bachelor deg"
"602",9,"WORKING FULL TIME",37,NA,6,119699.194612018,1,"A GREAT DEAL","Graduate deg"
"603",NA,"KEEPING HOUSE",35,NA,2,82372.4566716759,NA,NA,"HS"
"604",5,"WORKING PART TIME",24,"McCain",NA,23380.2872515621,NA,NA,"HS"
"605",9,"WORKING FULL TIME",70,"Obama",1,81757.8928148644,2,"HARDLY ANY","HS"
"606",4,"WORKING FULL TIME",28,"McCain",NA,74997.7998788889,NA,NA,"HS"
"607",8,"WORKING FULL TIME",51,"McCain",2,7348.17084972571,1,"A GREAT DEAL","HS"
"608",4,"WORKING FULL TIME",30,"Obama",NA,18359.3116999659,NA,NA,"Junior Coll"
"609",9,"RETIRED",80,"McCain",3,49997.8392518569,2,"A GREAT DEAL","HS"
"610",7,"WORKING PART TIME",46,"McCain",NA,49994.4154608113,NA,NA,"Bachelor deg"
"611",6,"RETIRED",78,NA,0,NA,1,"A GREAT DEAL","Graduate deg"
"612",6,"WORKING FULL TIME",64,"McCain",NA,49999.3208747334,NA,NA,"HS"
"613",NA,"WORKING FULL TIME",50,"Obama",0,53951.5236288823,3,"A GREAT DEAL","Graduate deg"
"614",5,"RETIRED",63,"Obama",2,37658.9710845551,4,"ONLY SOME","Junior Coll"
"615",5,"WORKING FULL TIME",66,NA,1,74999.1942494913,4,"A GREAT DEAL","HS"
"616",4,"WORKING FULL TIME",35,"Obama",NA,120228.141480762,NA,NA,"Bachelor deg"
"617",8,"RETIRED",72,"Obama",NA,9526.79287277845,NA,NA,"HS"
"618",6,"RETIRED",88,"Obama",0,13794.9678977672,1,"HARDLY ANY","HS"
"619",NA,"WORKING PART TIME",NA,NA,1,27460.4622235413,NA,"ONLY SOME","HS"
"620",6,"KEEPING HOUSE",19,NA,NA,368.379174277025,NA,NA,"HS"
"621",NA,"WORKING PART TIME",32,NA,1,23559.3226082576,1,"A GREAT DEAL","Junior Coll"
"622",8,"WORKING PART TIME",33,"McCain",3,74996.1205794307,3,"ONLY SOME","HS"
"623",7,"WORKING FULL TIME",48,"Obama",3,175754.612377922,1,"ONLY SOME","Junior Coll"
"624",NA,"RETIRED",67,"Obama",1,10828.1244101244,2,"A GREAT DEAL","HS"
"625",6,"UNEMPLOYED, LAID OFF",46,"Obama",NA,49995.4024635258,NA,NA,"HS"
"626",10,"UNEMPLOYED, LAID OFF",50,NA,NA,74999.8187510006,NA,NA,"Graduate deg"
"627",7,"WORKING PART TIME",28,"Obama",0,176089.713164645,4,"A GREAT DEAL","Bachelor deg"
"628",2,"KEEPING HOUSE",28,NA,NA,74998.7500373663,NA,NA,"Bachelor deg"
"629",NA,"WORKING FULL TIME",49,"Obama",1,49992.6174117256,3,"ONLY SOME","Bachelor deg"
"630",NA,"WORKING PART TIME",20,NA,2,11417.6336473177,4,"A GREAT DEAL","HS"
"631",6,"WORKING FULL TIME",51,"Obama",NA,176444.746963867,NA,NA,"HS"
"632",5,"RETIRED",75,"Obama",6,9101.46776975457,1,"ONLY SOME","<HS"
"633",9,"RETIRED",65,NA,1,26210.1135735905,1,"ONLY SOME","HS"
"634",5,"KEEPING HOUSE",58,NA,NA,8806.85164303461,NA,NA,"HS"
"635",8,"WORKING FULL TIME",40,"Obama",NA,55192.5008206597,NA,NA,"HS"
"636",NA,"WORKING FULL TIME",32,NA,1,NA,2,"ONLY SOME","Junior Coll"
"637",4,"UNEMPLOYED, LAID OFF",53,NA,NA,37131.21283458,NA,NA,"Junior Coll"
"638",8,"WORKING FULL TIME",51,"McCain",3,81335.4144074515,1,"ONLY SOME","HS"
"639",NA,"WORKING FULL TIME",48,NA,1,82470.5008505618,3,"ONLY SOME","HS"
"640",7,"WORKING FULL TIME",42,"McCain",6,49998.6084763042,3,"ONLY SOME","HS"
"641",NA,"UNEMPLOYED, LAID OFF",39,"McCain",0,55103.2691154097,1,"HARDLY ANY","HS"
"642",2,"KEEPING HOUSE",27,NA,4,4519.07418095028,NA,"A GREAT DEAL","<HS"
"643",5,"WORKING FULL TIME",45,NA,4,17078.7680512401,2,"A GREAT DEAL","HS"
"644",7,"WORKING FULL TIME",42,"Obama",NA,82262.8831311804,NA,NA,"HS"
"645",5,"WORKING FULL TIME",48,NA,6,82896.6349156104,3,"A GREAT DEAL","HS"
"646",NA,"RETIRED",69,"McCain",1,82386.142350006,4,"A GREAT DEAL","HS"
"647",3,"WORKING FULL TIME",18,NA,NA,55074.1410563101,NA,NA,"HS"
"648",8,"TEMP NOT WORKING",37,NA,NA,81206.6502151271,NA,NA,"HS"
"649",NA,"KEEPING HOUSE",33,"Obama",1,74998.2817551479,4,"ONLY SOME","Junior Coll"
"650",7,"WORKING FULL TIME",49,"McCain",1,55082.457353264,3,"A GREAT DEAL","HS"
"651",NA,"WORKING FULL TIME",39,"McCain",1,NA,3,"ONLY SOME","Bachelor deg"
"652",8,"WORKING FULL TIME",44,NA,3,38284.5189258675,3,"ONLY SOME","<HS"
"653",4,"WORKING PART TIME",53,NA,5,7582.59942627615,3,"ONLY SOME","<HS"
"654",NA,"UNEMPLOYED, LAID OFF",25,NA,3,6532.11615756116,4,"A GREAT DEAL","HS"
"655",6,"WORKING FULL TIME",45,"McCain",2,NA,2,"ONLY SOME","Bachelor deg"
"656",5,"WORKING FULL TIME",24,"Obama",4,31594.2236077642,4,"A GREAT DEAL","HS"
"657",NA,"SCHOOL",59,"Obama",1,25649.9099457381,1,"HARDLY ANY","HS"
"658",4,"WORKING FULL TIME",27,NA,NA,53983.7444945342,NA,NA,"HS"
"659",7,"WORKING FULL TIME",54,"Obama",3,37486.0808347557,2,"A GREAT DEAL","Graduate deg"
"660",3,"WORKING PART TIME",26,NA,NA,32341.2989564881,NA,NA,"HS"
"661",NA,NA,86,"McCain",3,NA,2,"A GREAT DEAL","HS"
"662",5,"WORKING FULL TIME",63,"McCain",3,49999.3975184078,1,"A GREAT DEAL","HS"
"663",6,"WORKING PART TIME",27,"Obama",NA,39276.2255601315,NA,NA,"HS"
"664",NA,"WORKING FULL TIME",52,"Obama",1,20442.5783558233,4,"A GREAT DEAL","HS"
"665",4,"WORKING PART TIME",50,NA,NA,3272.28220458811,NA,NA,"<HS"
"666",5,"UNEMPLOYED, LAID OFF",36,"Obama",4,3693.90579131367,3,"ONLY SOME","HS"
"667",NA,"UNEMPLOYED, LAID OFF",38,NA,5,310.798924208353,2,"HARDLY ANY","HS"
"668",NA,"RETIRED",73,"Obama",NA,32690.5971058976,3,"ONLY SOME","HS"
"669",NA,"WORKING FULL TIME",51,"McCain",2,176075.334164153,4,"A GREAT DEAL","Bachelor deg"
"670",NA,"TEMP NOT WORKING",41,"Obama",4,24278.3319200007,1,"A GREAT DEAL","HS"
"671",NA,"SCHOOL",36,NA,5,49999.7124302995,1,"A GREAT DEAL","HS"
"672",NA,"WORKING FULL TIME",54,"Obama",2,NA,4,"A GREAT DEAL","Graduate deg"
"673",10,"WORKING FULL TIME",39,"Obama",NA,74997.0246961125,NA,NA,"Bachelor deg"
"674",8,"WORKING FULL TIME",61,"Obama",0,82019.2197571669,4,"HARDLY ANY","Junior Coll"
"675",6,"WORKING FULL TIME",21,NA,1,16945.7160587186,3,"HARDLY ANY","HS"
"676",NA,"RETIRED",76,"Obama",1,38057.842042282,3,"A GREAT DEAL","HS"
"677",NA,"SCHOOL",23,NA,2,74999.3907906294,1,"ONLY SOME","HS"
"678",NA,"RETIRED",63,"Obama",1,74999.283877061,3,"ONLY SOME","HS"
"679",10,"WORKING FULL TIME",45,"Obama",NA,82486.4971171825,NA,NA,"Graduate deg"
"680",NA,"WORKING PART TIME",26,NA,5,54900.3699143448,NA,"ONLY SOME","<HS"
"681",6,"WORKING FULL TIME",36,NA,5,21121.3070582846,2,"ONLY SOME","<HS"
"682",NA,"WORKING FULL TIME",64,"Obama",2,NA,1,"ONLY SOME","Bachelor deg"
"683",3,"WORKING FULL TIME",46,NA,1,74998.5838621173,1,"ONLY SOME","<HS"
"684",5,"RETIRED",69,"Obama",3,174686.327611825,NA,"A GREAT DEAL","HS"
"685",6,"WORKING FULL TIME",43,NA,NA,NA,NA,NA,"HS"
"686",NA,"RETIRED",57,NA,6,11912.2539041599,4,"A GREAT DEAL","Bachelor deg"
"687",4,"WORKING FULL TIME",34,"Obama",5,23013.9827068801,3,"A GREAT DEAL","HS"
"688",5,"UNEMPLOYED, LAID OFF",30,NA,5,14489.6824285647,3,"ONLY SOME","<HS"
"689",7,"WORKING FULL TIME",28,"McCain",NA,120780.025493277,NA,NA,"Bachelor deg"
"690",NA,"SCHOOL",23,NA,3,174451.282586993,4,"A GREAT DEAL","HS"
"691",6,"WORKING FULL TIME",29,"McCain",2,55131.8561197092,1,"A GREAT DEAL","HS"
"692",NA,"WORKING FULL TIME",54,"Obama",1,140489.731011838,2,"ONLY SOME","Graduate deg"
"693",8,"WORKING FULL TIME",57,"McCain",NA,174492.210685357,NA,NA,"HS"
"694",10,"RETIRED",67,"Obama",0,74999.252821377,3,"ONLY SOME","HS"
"695",7,"KEEPING HOUSE",27,"McCain",7,31968.4709983089,4,"ONLY SOME","HS"
"696",NA,"WORKING FULL TIME",43,"McCain",1,NA,1,"A GREAT DEAL","Bachelor deg"
"697",7,"WORKING FULL TIME",42,"McCain",2,175927.4908388,1,"A GREAT DEAL","HS"
"698",7,"TEMP NOT WORKING",35,NA,0,24015.6005724916,3,"A GREAT DEAL","Junior Coll"
"699",8,"WORKING PART TIME",30,"Obama",1,NA,4,"A GREAT DEAL","Bachelor deg"
"700",6,"WORKING FULL TIME",55,NA,NA,49996.250660918,NA,NA,"Junior Coll"
"701",NA,"UNEMPLOYED, LAID OFF",53,"Obama",4,27826.1585247141,2,"A GREAT DEAL","Junior Coll"
"702",7,"SCHOOL",18,NA,1,83606.9960693363,4,"ONLY SOME","<HS"
"703",4,"UNEMPLOYED, LAID OFF",40,NA,NA,11059.2786027197,NA,NA,"Graduate deg"
"704",8,"SCHOOL",25,"Obama",1,82230.8083301132,2,"ONLY SOME","HS"
"705",8,"WORKING FULL TIME",54,"Obama",NA,175387.676787606,NA,NA,"Graduate deg"
"706",NA,"WORKING FULL TIME",52,"McCain",1,NA,2,"ONLY SOME","Bachelor deg"
"707",NA,"SCHOOL",25,NA,2,10958.2501246585,3,"A GREAT DEAL","HS"
"708",3,"WORKING FULL TIME",28,"Obama",NA,74999.1056227358,NA,NA,"HS"
"709",4,"RETIRED",74,NA,3,28074.2672828795,1,"A GREAT DEAL","HS"
"710",7,"RETIRED",89,"McCain",0,81856.0805947451,3,"ONLY SOME","Bachelor deg"
"711",4,"RETIRED",77,"McCain",3,21309.6995834886,1,"A GREAT DEAL","<HS"
"712",5,"WORKING FULL TIME",24,"Obama",NA,74998.0188491864,NA,NA,"HS"
"713",NA,"WORKING FULL TIME",72,"Obama",1,81567.5597557488,1,"ONLY SOME","HS"
"714",6,"WORKING PART TIME",70,"McCain",NA,15668.9582292335,NA,NA,"HS"
"715",6,"RETIRED",84,"Obama",6,55828.0084810843,2,"ONLY SOME","HS"
"716",NA,"RETIRED",73,"Obama",5,11403.6933437047,3,"A GREAT DEAL","HS"
"717",5,NA,57,"Obama",4,23183.0328255513,2,"A GREAT DEAL","HS"
"718",9,"WORKING PART TIME",47,"Obama",NA,174336.001269335,NA,NA,"Graduate deg"
"719",6,"WORKING PART TIME",49,"Obama",NA,4448.67573027509,NA,NA,"HS"
"720",4,"UNEMPLOYED, LAID OFF",51,"Obama",NA,27510.7841912199,NA,NA,"HS"
"721",NA,"RETIRED",53,"Obama",1,29055.8577341686,4,"A GREAT DEAL","<HS"
"722",NA,"RETIRED",65,NA,2,14849.2313101235,3,"A GREAT DEAL","HS"
"723",6,"WORKING FULL TIME",55,NA,6,13497.2823951892,NA,"A GREAT DEAL","HS"
"724",5,"WORKING PART TIME",57,"Obama",NA,19046.5637697435,NA,NA,"Bachelor deg"
"725",NA,"WORKING FULL TIME",38,"Obama",0,30543.564985433,3,"A GREAT DEAL","HS"
"726",NA,"TEMP NOT WORKING",49,"Obama",1,49996.6731999303,2,"A GREAT DEAL","HS"
"727",5,"WORKING FULL TIME",54,NA,NA,37274.1122032334,NA,NA,"HS"
"728",6,"WORKING FULL TIME",21,NA,1,74998.7615393787,1,"HARDLY ANY","HS"
"729",NA,"WORKING FULL TIME",20,NA,2,14682.1244373801,3,"ONLY SOME","HS"
"730",5,"RETIRED",76,NA,4,NA,3,"A GREAT DEAL","HS"
"731",NA,"RETIRED",66,"Obama",1,8559.64437130432,2,"ONLY SOME","<HS"
"732",5,"KEEPING HOUSE",43,"Obama",3,32212.9492999468,3,"A GREAT DEAL","HS"
"733",4,"KEEPING HOUSE",55,NA,NA,49998.8042349077,NA,NA,"HS"
"734",6,"WORKING FULL TIME",28,"McCain",2,37484.5726972236,2,"ONLY SOME","Graduate deg"
"735",5,"KEEPING HOUSE",45,"McCain",NA,74999.3512332095,NA,NA,"HS"
"736",3,"RETIRED",81,NA,4,20766.7371685519,4,NA,"<HS"
"737",NA,"RETIRED",76,"Obama",1,54869.0601185995,3,"ONLY SOME","HS"
"738",7,"WORKING FULL TIME",45,NA,1,21945.2195331618,3,"ONLY SOME","HS"
"739",NA,"WORKING FULL TIME",62,"Obama",0,56051.5147767727,2,"ONLY SOME","HS"
"740",4,"WORKING FULL TIME",62,"Obama",5,49998.8198280986,1,"ONLY SOME","HS"
"741",6,"WORKING PART TIME",29,NA,NA,74998.8660438507,NA,NA,"Bachelor deg"
"742",NA,"WORKING FULL TIME",31,NA,5,121808.894302952,3,"A GREAT DEAL","Graduate deg"
"743",4,"UNEMPLOYED, LAID OFF",32,NA,6,NA,3,"ONLY SOME","HS"
"744",6,"WORKING FULL TIME",41,"McCain",NA,82359.6882847314,NA,NA,"HS"
"745",5,"WORKING PART TIME",30,NA,1,84973.4042168961,3,"A GREAT DEAL","Bachelor deg"
"746",NA,"RETIRED",64,"Obama",5,37224.3691687832,4,"A GREAT DEAL","Bachelor deg"
"747",3,"WORKING FULL TIME",50,"McCain",NA,NA,NA,NA,"HS"
"748",3,"WORKING FULL TIME",22,"McCain",3,174945.852687989,4,"A GREAT DEAL","HS"
"749",6,"WORKING FULL TIME",22,NA,2,11010.1196005636,3,"A GREAT DEAL","<HS"
"750",NA,"WORKING FULL TIME",54,NA,3,18849.733848129,1,"A GREAT DEAL","Bachelor deg"
"751",5,"RETIRED",76,"Obama",1,32040.0568292444,1,"ONLY SOME","HS"
"752",NA,"WORKING PART TIME",66,"Obama",1,55197.116191361,1,"ONLY SOME","Junior Coll"
"753",8,"RETIRED",64,"McCain",3,74999.958287088,2,"ONLY SOME","Bachelor deg"
"754",6,"WORKING FULL TIME",56,"McCain",5,NA,2,"A GREAT DEAL","Bachelor deg"
"755",NA,"SCHOOL",19,NA,4,49998.9926646277,4,"ONLY SOME","<HS"
"756",6,"UNEMPLOYED, LAID OFF",45,"Obama",3,174914.938024443,3,"ONLY SOME","HS"
"757",3,"WORKING PART TIME",47,"Obama",NA,NA,NA,NA,"Bachelor deg"
"758",5,"SCHOOL",20,NA,NA,49999.8346654621,NA,NA,"HS"
"759",6,"WORKING FULL TIME",44,"Obama",3,27243.4255473316,4,"A GREAT DEAL","HS"
"760",3,"WORKING FULL TIME",24,NA,NA,49999.9442197155,NA,NA,"Junior Coll"
"761",4,"WORKING FULL TIME",49,NA,4,56437.082649246,1,"A GREAT DEAL","Bachelor deg"
"762",6,"WORKING FULL TIME",67,"Obama",1,81538.0641081862,3,"ONLY SOME","HS"
"763",6,"WORKING FULL TIME",48,NA,2,37049.5551341179,4,"A GREAT DEAL","HS"
"764",NA,"UNEMPLOYED, LAID OFF",47,"McCain",1,6393.55927718042,3,"A GREAT DEAL","HS"
"765",7,"WORKING PART TIME",75,"McCain",NA,74999.7743680631,NA,NA,"HS"
"766",NA,"RETIRED",76,NA,1,56933.5039133109,1,"A GREAT DEAL","HS"
"767",6,"WORKING FULL TIME",51,NA,NA,49988.4001157719,NA,NA,"<HS"
"768",NA,"WORKING FULL TIME",37,NA,1,NA,2,"ONLY SOME","HS"
"769",5,"WORKING FULL TIME",43,"Obama",3,81605.2883158306,2,"ONLY SOME","HS"
"770",6,"WORKING FULL TIME",22,"McCain",NA,32927.9624493396,NA,NA,"HS"
"771",6,"WORKING PART TIME",41,NA,NA,82928.5749691691,NA,NA,"HS"
"772",NA,"WORKING PART TIME",24,"Obama",5,49994.7567106461,3,"A GREAT DEAL","HS"
"773",5,"WORKING FULL TIME",43,NA,NA,NA,NA,NA,"<HS"
"774",NA,"TEMP NOT WORKING",66,"McCain",2,24520.7032367341,1,"A GREAT DEAL","HS"
"775",NA,"WORKING FULL TIME",47,"Obama",3,23770.4262984747,3,"A GREAT DEAL","HS"
"776",NA,"WORKING FULL TIME",50,NA,0,49998.9528116677,3,"A GREAT DEAL","Bachelor deg"
"777",NA,"WORKING FULL TIME",57,"McCain",6,19088.2518557453,3,"ONLY SOME","Junior Coll"
"778",8,"WORKING FULL TIME",56,"Obama",NA,74999.6919329064,NA,NA,"HS"
"779",4,"UNEMPLOYED, LAID OFF",22,"McCain",1,54617.656727774,3,"ONLY SOME","HS"
"780",NA,"WORKING FULL TIME",61,"McCain",0,120470.924206322,2,"A GREAT DEAL","Bachelor deg"
"781",7,"WORKING FULL TIME",26,"Obama",2,175558.308673428,1,"HARDLY ANY","HS"
"782",NA,"WORKING FULL TIME",42,NA,1,38529.9615583556,1,"A GREAT DEAL","Bachelor deg"
"783",2,"RETIRED",87,"McCain",NA,NA,NA,NA,"Junior Coll"
"784",NA,"WORKING FULL TIME",32,NA,3,140577.808344389,3,"A GREAT DEAL","Bachelor deg"
"785",NA,"WORKING FULL TIME",42,"McCain",3,174786.549692171,4,"A GREAT DEAL","Bachelor deg"
"786",4,"RETIRED",89,"Obama",0,25967.3087114162,1,"A GREAT DEAL","HS"
"787",NA,"WORKING FULL TIME",55,"McCain",1,81638.0169945806,3,"A GREAT DEAL","HS"
"788",7,"KEEPING HOUSE",38,NA,NA,37156.3052895213,NA,NA,"Bachelor deg"
"789",NA,"RETIRED",62,"McCain",1,55795.9079547421,1,"A GREAT DEAL","Junior Coll"
"790",6,"WORKING FULL TIME",51,"McCain",NA,118986.513982803,NA,NA,"Bachelor deg"
"791",NA,"KEEPING HOUSE",27,"Obama",3,16411.265696847,3,"A GREAT DEAL","Junior Coll"
"792",6,"WORKING FULL TIME",36,NA,5,49998.606471204,1,"ONLY SOME","<HS"
"793",8,"TEMP NOT WORKING",34,"McCain",NA,37100.7761615522,NA,NA,"HS"
"794",NA,"KEEPING HOUSE",36,NA,2,49999.930608137,4,"A GREAT DEAL","Bachelor deg"
"795",6,"WORKING FULL TIME",29,NA,NA,19304.8246289632,NA,NA,"Junior Coll"
"796",2,"KEEPING HOUSE",42,NA,2,NA,NA,NA,"HS"
"797",8,"WORKING FULL TIME",51,"McCain",NA,175926.087464651,NA,NA,"Junior Coll"
"798",NA,"WORKING FULL TIME",25,NA,4,23982.8964648838,2,"ONLY SOME","HS"
"799",NA,"RETIRED",81,"Obama",1,120238.351221591,2,"A GREAT DEAL","Bachelor deg"
"800",5,"WORKING PART TIME",22,NA,NA,11016.2556701815,NA,NA,"HS"
"801",5,"WORKING FULL TIME",45,"McCain",3,82289.6035388192,3,"ONLY SOME","HS"
"802",6,"RETIRED",61,"Obama",NA,81811.1695505762,NA,NA,"HS"
"803",NA,"RETIRED",79,"Obama",1,37459.9707875833,NA,"ONLY SOME","HS"
"804",NA,"RETIRED",63,"Obama",3,55155.2752218231,1,"A GREAT DEAL","HS"
"805",10,"WORKING FULL TIME",60,NA,2,174911.152026539,4,"ONLY SOME","Graduate deg"
"806",NA,"SCHOOL",54,"McCain",3,173438.388008578,2,"A GREAT DEAL","HS"
"807",7,"KEEPING HOUSE",56,NA,6,174166.272218278,4,"A GREAT DEAL","HS"
"808",NA,"UNEMPLOYED, LAID OFF",21,NA,5,37196.9280939992,3,"A GREAT DEAL","HS"
"809",NA,"RETIRED",67,NA,3,5623.32985395544,2,"A GREAT DEAL","<HS"
"810",6,"WORKING FULL TIME",61,"Obama",NA,37094.8380799898,NA,NA,"HS"
"811",3,"WORKING FULL TIME",51,"Obama",NA,14316.7969811688,NA,NA,"HS"
"812",0,"RETIRED",72,"Obama",3,36705.9887558268,1,"ONLY SOME","<HS"
"813",NA,"WORKING PART TIME",63,NA,5,1891.61906592294,4,"A GREAT DEAL","<HS"
"814",5,"RETIRED",78,"Obama",3,NA,1,"A GREAT DEAL","HS"
"815",7,"WORKING FULL TIME",45,"McCain",1,NA,2,"ONLY SOME","Bachelor deg"
"816",6,"WORKING FULL TIME",48,"McCain",NA,NA,NA,NA,"HS"
"817",8,"RETIRED",79,NA,0,27190.3779121956,1,"ONLY SOME","Bachelor deg"
"818",NA,"WORKING FULL TIME",30,"McCain",1,NA,2,"A GREAT DEAL","HS"
"819",6,"KEEPING HOUSE",32,"Obama",NA,49995.9452538986,NA,NA,"HS"
"820",NA,"KEEPING HOUSE",30,NA,2,7550.98516782564,1,"HARDLY ANY","<HS"
"821",7,"WORKING FULL TIME",44,NA,NA,49997.4078051794,NA,NA,"Bachelor deg"
"822",5,"WORKING FULL TIME",42,NA,3,14920.0137107851,NA,"A GREAT DEAL","Junior Coll"
"823",NA,"RETIRED",64,"Obama",1,21360.0404735999,2,"ONLY SOME","Junior Coll"
"824",NA,"UNEMPLOYED, LAID OFF",42,"Obama",1,27247.1290187167,3,"A GREAT DEAL","Bachelor deg"
"825",6,"KEEPING HOUSE",42,"McCain",NA,175713.241762268,NA,NA,"Bachelor deg"
"826",NA,"WORKING FULL TIME",46,"Obama",2,NA,2,"A GREAT DEAL","Bachelor deg"
"827",4,"WORKING FULL TIME",26,"Obama",NA,827.772531135674,NA,NA,"HS"
"828",9,"RETIRED",63,"Obama",NA,NA,NA,NA,"HS"
"829",7,"WORKING FULL TIME",45,"Obama",3,23635.1486427298,2,"ONLY SOME","Junior Coll"
"830",NA,"WORKING FULL TIME",33,"Obama",3,49999.5423500799,4,"ONLY SOME","Junior Coll"
"831",7,"KEEPING HOUSE",27,NA,4,37904.6490498652,1,"A GREAT DEAL","HS"
"832",NA,"WORKING FULL TIME",50,"Obama",0,174880.255840978,3,"A GREAT DEAL","Bachelor deg"
"833",10,"WORKING PART TIME",68,"McCain",NA,38291.0783488582,NA,NA,"Bachelor deg"
"834",8,"UNEMPLOYED, LAID OFF",55,"McCain",4,120202.873551601,3,"A GREAT DEAL","HS"
"835",NA,"TEMP NOT WORKING",58,"Obama",6,27650.2056906912,3,"A GREAT DEAL","<HS"
"836",6,"WORKING FULL TIME",19,NA,1,49996.9165173081,3,"A GREAT DEAL","HS"
"837",NA,"WORKING FULL TIME",42,NA,NA,NA,NA,NA,"<HS"
"838",NA,"WORKING PART TIME",38,NA,3,NA,3,"ONLY SOME","HS"
"839",8,"RETIRED",63,NA,3,10790.0035442038,2,"ONLY SOME","HS"
"840",7,"WORKING FULL TIME",27,NA,3,32689.3262492076,3,"ONLY SOME","Bachelor deg"
"841",NA,"RETIRED",71,"Obama",6,21160.8924554589,4,"ONLY SOME","HS"
"842",6,"WORKING FULL TIME",38,"Obama",NA,NA,NA,NA,"HS"
"843",7,"RETIRED",77,"McCain",3,19885.4245975727,1,"ONLY SOME","HS"
"844",NA,"WORKING FULL TIME",48,"Obama",1,31471.9357738191,3,"A GREAT DEAL","HS"
"845",6,"RETIRED",74,"Obama",5,26124.8520833629,1,"A GREAT DEAL","Bachelor deg"
"846",NA,"WORKING FULL TIME",56,"McCain",5,56076.394115546,1,"A GREAT DEAL","HS"
"847",6,"WORKING FULL TIME",23,"Obama",1,74999.1619645067,3,"ONLY SOME","HS"
"848",NA,"TEMP NOT WORKING",51,NA,1,17353.9290424414,1,"HARDLY ANY","<HS"
"849",7,"WORKING FULL TIME",47,"McCain",NA,38093.1083423033,NA,NA,"HS"
"850",4,"UNEMPLOYED, LAID OFF",49,NA,3,15298.0016736566,1,"ONLY SOME","HS"
"851",NA,"WORKING FULL TIME",22,"McCain",2,21406.7737141967,1,"ONLY SOME","Bachelor deg"
"852",8,"WORKING FULL TIME",36,"Obama",3,74998.7613604401,3,"ONLY SOME","Bachelor deg"
"853",NA,"WORKING FULL TIME",38,NA,2,NA,3,"A GREAT DEAL","HS"
"854",5,"WORKING FULL TIME",22,NA,NA,74999.8614441351,NA,NA,"<HS"
"855",7,"UNEMPLOYED, LAID OFF",46,NA,3,6430.10310108673,2,"A GREAT DEAL","HS"
"856",3,NA,63,"Obama",NA,13298.3251371891,NA,NA,"<HS"
"857",5,"WORKING PART TIME",19,NA,5,28142.9492258292,4,"A GREAT DEAL","<HS"
"858",5,"WORKING FULL TIME",52,NA,NA,49999.2066133866,NA,NA,"HS"
"859",6,"UNEMPLOYED, LAID OFF",35,NA,NA,15785.7685085196,NA,NA,"<HS"
"860",NA,"RETIRED",64,"Obama",0,24182.474136715,2,"A GREAT DEAL","HS"
"861",5,"KEEPING HOUSE",49,"McCain",NA,3363.50117890065,NA,NA,"HS"
